id,judul,deskripsi,created_at,updated_at
5,Bagaimana cara mendaftar di SIPERPUS ?,Kamu dapat langsung mendaftarkan diri dengan cara klik button kuning yang bertuliskan daftar disini yang tersedia di menu home ,2020-01-06,2020-01-06
6,Setelah mendaftarkan diri apa proses selanjutnya untuk menggunakan SIPERPUS ?,Setelah kamu mendaftarkan diri selanjutnya login dengan cara klik button putih pojok kanan atas. Pastikan saat menginput data pendaftaran kamu mengisikan email yang masih aktif,2020-01-06,2020-01-06
